REF,AAA-System,AAAAlloys,AAAAAAProcessing Condition,PHASE,Phase,H    ev/atom,Hf  kJ/mol,Hmix,Smix/R,Delta,HV,Modulus (GPa),yield(MPa),compressive stregth,Ε(%),Ag,Al,Au,B,Be,C,Ca,Ce,Co,Cr,Cu,Dy,Er,Fe,Ga,Gd,Ge,Hf,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Pr,Rh,Ru,Sc,Si,Sm,Sn,Sr,Ta,Tb,Ti,Tm,V,W,Y,Yb,Zn,Zr
3,Al-C-Co-Cr-Fe-Ni,AlC0.1CoCrFeNi,AC,SS+IM,BCC+��,-0.311,-30.01,-15.3479,-1.674389267,8.009933435,,213.2,957,2550,10.52,0,0.196078431,0,0,0,0.019607843,,,0.196078431,0.196078431,0,0,,0.196078431,,0,0,0,,0,0,0,0,0,0,0,0.196078431,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
3,Al-Co-Cr-Fe-Ni,AlCoCrFeNi,AC,SS,BCC,-0.309,-29.81,-12.32,-1.609437912,5.777889559,,125.1,1138,,,0,0.2,0,0,0,0,,,0.2,0.2,0,0,,0.2,,0,0,0,,0,0,0,0,0,0,0,0.2,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
4,Al-Co-Cr-Cu-Fe,AlCoCrCuFe,AC,SS,FCC+BCC,-0.245,-23.64,-2.56,-1.609437912,5.579539691,407,,,,,0,0.2,0,0,0,0,,,0.2,0.2,0.2,0,,0.2,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
4,Al-Co-Cr-Cu-Fe,Al0.8CoCrCuFe,AC,SS,FCC+BCC,-0.215,-20.74,-1.3542,-1.60580651,5.237976417,271,,,,,0,0.166666667,0,0,0,0,,,0.208333333,0.208333333,0.208333333,0,,0.208333333,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
4,Al-Co-Cr-Cu-Fe,Al1.3CoCrCuFe,AC,SS,FCC+BCC,-0.277,-26.73,-4.0299,-1.603353322,5.947927509,476,,,,,0,0.245283019,0,0,0,0,,,0.188679245,0.188679245,0.188679245,0,,0.188679245,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
4,Al-Co-Cr-Cu-Fe,Al1.5CoCrCuFe,AC,SS,FCC+BCC,-0.295,-28.46,-4.8264,-1.594166699,6.126194308,510,,,,,0,0.272727273,0,0,0,0,,,0.181818182,0.181818182,0.181818182,0,,0.181818182,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
4,Al-Co-Cr-Cu-Fe,Al0.5CoCrCuFe,AC,SS,FCC,-0.163,-15.73,0.8889,-1.58109375,4.490794823,207,,,,,0,0.111111111,0,0,0,0,,,0.222222222,0.222222222,0.222222222,0,,0.222222222,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
4,Al-Co-Cr-Cu-Fe,Al1.8CoCrCuFe,AC,SS,FCC+BCC,-0.316,-30.49,-5.8026,-1.575441366,6.322887524,557,,,,,0,0.310344828,0,0,0,0,,,0.172413793,0.172413793,0.172413793,0,,0.172413793,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
4,Al-Co-Cr-Cu-Fe,Al2.0CoCrCuFe,AC,SS,FCC+BCC,-0.327,-31.55,-6.3333,-1.560710409,6.418437319,567,,,,,0,0.333333333,0,0,0,0,,,0.166666667,0.166666667,0.166666667,0,,0.166666667,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
4,Al-Co-Cr-Cu-Fe,Al0.3CoCrCuFe,AC,SS,FCC,-0.119,-11.48,2.7474,-1.542613125,3.718129999,180,,,,,0,0.069767442,0,0,0,0,,,0.23255814,0.23255814,0.23255814,0,,0.23255814,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
