Alloy composition (at.\%) [ref.],Tg (K),Tx (K),Tl (K),Dmax (mm),Trg,1Tx,2,3m,4Trg,5,6,7,8,9I,1/10
Ti41.5Zr2.5Hf5Cu42.5Ni7.5Si1 [24],684.6,719.9,1206,2,0.56766,35.3,0.38078,0.6262,0.0677,1.3807,0.3715,0.59693,1.6192,2.0857,4.4101
Ti41.5Zr2.5Hf5Cu37.5Ni7.5Si1Sn5 [24],693.3,757.5,1176,6,0.58954,64.2,0.40523,0.69872,0.133,1.5693,0.41951,0.64413,1.6821,2.9986,5.7646
Ti40Zr10Cu40Pd10 [24],660,709,1184,4,0.55743,49,0.38449,0.6402,0.09351,1.3531,0.38432,0.59882,1.6317,2.074,4.65
Ti40Zr10Cu34Pd16 [24],672,723,1231,4,0.5459,51,0.37993,0.62876,0.09123,1.2934,0.37755,0.58733,1.6218,1.8827,4.4801
Ti40Zr10Cu32Pd18 [24],683,740,1272,3,0.53695,57,0.37852,0.62657,0.09677,1.2564,0.37645,0.58176,1.6204,1.7858,4.4593
Ti40Zr10Cu30Pd20 [24],687,747,1279,3,0.53714,60,0.37996,0.63096,0.10135,1.2618,0.37903,0.58405,1.6245,1.8132,4.529
Ti53Cu15Ni18.5Al7Si3Sc3B0.5 [24],709,767,1240,2,0.57177,58,0.39354,0.66532,0.10923,1.4444,0.39972,0.61855,1.6536,2.4306,5.0806
Ti53Cu15Ni18.5Al7Si3Hf3B0.5 [24],695,749,1230,2,0.56504,54,0.38909,0.65285,0.10093,1.4,0.39211,0.60894,1.6427,2.25,4.8585
Ti40Zr10Cu38Pd12 [32],666,715,1189,6,0.5601,49,0.3854,0.6426,0.0937,1.3671,0.3857,0.6014,1.6337,2.1195,4.6858
Ti40Zr10Cu36Pd14 [32],669,718,1191,6,0.5617,49,0.386,0.644,0.0939,1.3755,0.3865,0.6029,1.635,2.147,4.7081
Pr68Cu25Al7 [24],382,402,705,1.5,0.54184,20,0.36983,0.59858,0.06192,1.2446,0.35537,0.57021,1.5942,1.6726,4.0421
Pr68(CuNi)25Al7 [24],399,416,703,1.5,0.56757,17,0.3775,0.61593,0.05592,1.3684,0.36144,0.59175,1.6102,2.0151,4.2554
Pr72(CuNi)25Al3 [24],367,402,743,1.5,0.49394,35,0.36216,0.58816,0.09309,1.0691,0.35297,0.54105,1.5893,1.2688,3.9734
Pr72(CuNi)21Al7 [24],395,410,760,1.5,0.51974,15,0.35498,0.55921,0.0411,1.1233,0.32558,0.53947,1.5577,1.322,3.5787
Y56Al24Co20 [24],636,690,1078,1.5,0.58998,54,0.40257,0.69017,0.12217,1.5611,0.41464,0.64007,1.6749,2.915,5.5675
Y36Sc20Al24Co20 [24],645,760,1034,25,0.62379,115,0.45265,0.84623,0.29563,1.9537,0.48747,0.73501,1.8021,6.5294,12.442
Y36Sc20Al24Co10Ni10 [24],645,731,1010,25,0.63861,86,0.44169,0.80891,0.23562,2.0027,0.47875,0.72376,1.7719,6.0572,9.7185
Co50Cr15Mo14C15B6 [24],819,895,1417,2,0.57798,76,0.40027,0.68525,0.12709,1.4967,0.41141,0.63162,1.6708,2.6901,5.4787
Co48Cr15Mo14C15B6Er2 [24],848,933,1394,10,0.60832,85,0.41615,0.73027,0.15568,1.7088,0.4378,0.6693,1.7086,3.7229,6.5604
Co43Fe20Ta5.5B31.5 [24],910,982,1526,2,0.59633,72,0.40312,0.69069,0.11688,1.5942,0.4149,0.64351,1.6755,3.0196,5.5694
[(Co0.9Fe0.1)0.75B0.2Si0.05]96Nb4 [33],803,843,1457,2,0.551,40,0.37301,0.60604,0.06116,1.289,0.3589,0.57859,1.6009,1.7956,4.1334
