Alloys,Tg (K),Tx (K),Tl (K),Rc (K/s),Trg,1Tx,2,3m,4Trg,5,6,7,8,9I,10
Mg65Ni20Nd15,459,501,805,30,0.57019,42,0.39636,0.67453,0.12139,1.448,0.40504,0.62236,1.6617,2.4883,0.1899
Mg75Ni15Nd10,450,470,790,46.1,0.56962,20,0.37903,0.62025,0.05882,1.3824,0.36494,0.59494,1.6141,2.0654,0.23164
Mg77Ni18Nd5,429,437,887,49000,0.48365,8,0.33207,0.50169,0.01747,0.9542,0.27367,0.49267,1.5023,0.9258,0.32972
Mg90Ni5Nd5,426,449,919,53000,0.46355,23,0.33383,0.5136,0.04665,0.9108,0.30536,0.48857,1.5175,0.8659,0.31532
Mg80Ni10Nd10,454,471,878,1251.4,0.51708,17,0.3536,0.55581,0.04009,1.1108,0.32326,0.53645,1.5545,1.2909,0.28222
Mg65Cu25Y10,413,473,760,50,0.54342,60,0.40324,0.70132,0.17291,1.3631,0.41241,0.62237,1.6887,2.3716,0.16897
Mg65Cu25Gd10,423,484,740,1,0.57162,61,0.41617,0.73649,0.19243,1.5268,0.43336,0.65405,1.7158,3.124,0.14654
La55Al25Ni20,491,555,941,67.5,0.52179,64,0.38757,0.65781,0.14222,1.2333,0.3899,0.5898,1.6521,1.8289,0.19893
La55Al25Cu20,456,495,896,72.3,0.50893,39,0.36612,0.59598,0.08864,1.125,0.35805,0.55246,1.5945,1.4037,0.24666
La66Al14Cu20,395,449,731,37.5,0.54036,54,0.39876,0.6881,0.16071,1.3363,0.40654,0.61423,1.6771,2.2302,0.17813
Pd40Ni40P20,575,640,905,0.167,0.63536,65,0.43243,0.77901,0.19697,1.9394,0.46519,0.70718,1.7484,5.2403,0.12141
Pd77Cu6Si17,642,686,1128,125,0.56915,44,0.38757,0.64716,0.09053,1.4115,0.38794,0.60816,1.6377,2.2543,0.21044
Pd79.5Cu4Si16.5,635,678,1086,500,0.58471,43,0.39396,0.6639,0.09534,1.5033,0.39786,0.62431,1.6524,2.5863,0.19864
Pd77.5Cu6Si16.5,637,686,1058,100,0.60208,49,0.40472,0.69471,0.11639,1.6295,0.41721,0.64839,1.679,3.1577,0.17695
Ni60Nb40,933,933,1484,1400,0.62871,0,0.38602,0.62871,0,1.6933,0,0.62871,1.6287,2.8672,0.22797
Ca65Mg15Zn20,375,410,630,20,0.59524,35,0.40796,0.70635,0.13725,1.6078,0.42404,0.65079,1.6886,3.1767,0.16837
